date,year,meeting_id,statement_url,minutes_url
2013-01-30,2013,2013-01-30,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130130a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130130.htm
2013-03-20,2013,2013-03-20,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130320a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130320.htm
2013-05-01,2013,2013-05-01,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130501a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130501.htm
2013-06-19,2013,2013-06-19,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130619a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130619.htm
2013-07-31,2013,2013-07-31,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130731a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130731.htm
2013-09-18,2013,2013-09-18,https://www.federalreserve.gov/newsevents/pressreleases/monetary20130918a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20130918.htm
2013-10-30,2013,2013-10-30,https://www.federalreserve.gov/newsevents/pressreleases/monetary20131030a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131030.htm
2013-12-18,2013,2013-12-18,https://www.federalreserve.gov/newsevents/pressreleases/monetary20131218a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20131218.htm
2014-01-29,2014,2014-01-29,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140129a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140129.htm
2014-03-19,2014,2014-03-19,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140319a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140319.htm
2014-04-30,2014,2014-04-30,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140430a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140430.htm
2014-06-18,2014,2014-06-18,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140618a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140618.htm
2014-07-30,2014,2014-07-30,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140730a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140730.htm
2014-09-17,2014,2014-09-17,https://www.federalreserve.gov/newsevents/pressreleases/monetary20140917a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20140917.htm
2014-10-29,2014,2014-10-29,https://www.federalreserve.gov/newsevents/pressreleases/monetary20141029a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20141029.htm
2014-12-17,2014,2014-12-17,https://www.federalreserve.gov/newsevents/pressreleases/monetary20141217a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20141217.htm
2015-01-28,2015,2015-01-28,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150128a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150128.htm
2015-03-18,2015,2015-03-18,https://www.federalreserve.gov/newsevents/pressreleases/monetary20150318a.htm,https://www.federalreserve.gov/monetarypolicy/fomcminutes20150318.htm
